glottocode,word,sum_count,same_meaning,glottolog_langname
viet1252,hang,5623,FALSE,Vietnamese
stan1290,tune,5620,FALSE,French
stan1290,arc,5619,TRUE,French
stan1290,sure,5618,FALSE,French
stan1290,vice,5616,TRUE,French
stan1290,confusion,5607,TRUE,French
stan1288,chile,5606,TRUE,Spanish
dutc1256,are,5601,TRUE,Dutch
stan1288,van,5601,TRUE,Spanish
stan1295,hall,5599,FALSE,German
stan1288,control,5596,TRUE,Spanish
wels1247,sir,5589,FALSE,Welsh
stan1290,document,5581,TRUE,French
stan1288,radio,5576,TRUE,Spanish
czec1258,med,5575,FALSE,Czech
olde1238,fox,5572,TRUE,Old English (ca. 450-1100)
mand1415,firm,5562,TRUE,Mandarin Chinese
swed1254,have,5551,FALSE,Swedish
stan1290,royal,5539,TRUE,French
dutc1256,good,5537,TRUE,Dutch
lati1261,bona,5535,FALSE,Latin
ital1282,nave,5534,FALSE,Italian
stan1290,division,5533,TRUE,French
lati1261,color,5530,TRUE,Latin
stan1290,excuse,5527,TRUE,French
stan1295,wider,5526,FALSE,German
stan1288,capital,5523,TRUE,Spanish
stan1295,cool,5523,TRUE,German
stan1290,gal,5516,FALSE,French
taga1270,was,5511,FALSE,Tagalog
